date,highest temperature
2020-01-01,4.75
2020-01-02,5.0
2020-01-03,6.0
2020-01-04,6.0
2020-01-05,4.625
2020-01-06,6.0
2020-01-07,5.125
2020-01-08,3.25
2020-01-09,3.875
2020-01-10,4.0
2020-01-11,2.25
2020-01-12,1.125
2020-01-13,1.875
2020-01-14,2.0
2020-01-15,3.125
2020-01-16,4.875
2020-01-17,5.75
2020-01-18,6.125
2020-01-19,5.0
2020-01-20,3.375
2020-01-21,6.625
2020-01-22,9.75
2020-01-23,7.5
2020-01-24,8.75
2020-01-25,10.75
2020-01-26,8.0
2020-01-27,9.0
2020-01-28,8.25
2020-01-29,8.125
2020-01-30,7.125
2020-01-31,6.875
2020-02-01,4.625
2020-02-02,3.0
2020-02-03,4.625
2020-02-04,-2.0
2020-02-05,-0.375
2020-02-06,1.875
2020-02-07,4.375
2020-02-08,4.0
2020-02-09,8.375
2020-02-10,12.375
2020-02-11,9.5
2020-02-12,10.75
2020-02-13,12.875
2020-02-14,14.5
2020-02-15,2.375
2020-02-16,-2.375
2020-02-17,3.25
2020-02-18,8.125
2020-02-19,9.75
2020-02-20,10.875
2020-02-21,7.5
2020-02-22,7.75
2020-02-23,11.5
2020-02-24,10.25
2020-02-25,10.375
2020-02-26,10.125
2020-02-27,7.375
2020-02-28,10.5
2020-02-29,11.0
2020-03-01,8.375
2020-03-02,9.5
2020-03-03,5.25
2020-03-04,7.25
2020-03-05,7.875
2020-03-06,11.375
2020-03-07,14.75
2020-03-08,14.875
2020-03-09,9.75
2020-03-10,8.125
2020-03-11,11.5
2020-03-12,8.625
2020-03-13,8.875
2020-03-14,8.125
2020-03-15,8.0
2020-03-16,11.5
2020-03-17,15.375
2020-03-18,10.875
2020-03-19,12.75
2020-03-20,16.5
2020-03-21,15.375
2020-03-22,14.125
2020-03-23,15.75
2020-03-24,16.875
2020-03-25,18.125
2020-03-26,16.375
2020-03-27,12.5
2020-03-28,13.625
2020-03-29,14.875
2020-03-30,16.75
2020-03-31,17.625
2020-04-01,15.375
2020-04-02,15.625
2020-04-03,13.0
2020-04-04,14.0
2020-04-05,15.5
2020-04-06,15.875
2020-04-07,14.25
2020-04-08,14.0
2020-04-09,14.875
2020-04-10,15.625
2020-04-11,16.0
2020-04-12,18.75
2020-04-13,18.125
2020-04-14,19.125
2020-04-15,22.375
2020-04-16,17.375
2020-04-17,17.75
2020-04-18,17.25
2020-04-19,14.375
2020-04-20,10.625
2020-04-21,9.75
2020-04-22,12.5
2020-04-23,14.75
2020-04-24,16.375
2020-04-25,17.125
2020-04-26,17.125
2020-04-27,17.875
2020-04-28,19.75
2020-04-29,22.25
2020-04-30,24.625
2020-05-01,23.125
2020-05-02,24.0
2020-05-03,24.0
2020-05-04,20.625
2020-05-05,25.25
2020-05-06,25.375
2020-05-07,24.125
2020-05-08,20.25
2020-05-09,20.0
2020-05-10,20.5
2020-05-11,19.125
2020-05-12,20.75
2020-05-13,24.375
2020-05-14,19.75
2020-05-15,21.125
2020-05-16,23.875
2020-05-17,24.375
2020-05-18,17.375
2020-05-19,18.625
2020-05-20,21.625
2020-05-21,24.25
2020-05-22,23.125
2020-05-23,21.25
2020-05-24,21.625
2020-05-25,20.875
2020-05-26,22.625
2020-05-27,21.25
2020-05-28,25.625
2020-05-29,27.75
2020-05-30,26.25
2020-05-31,24.375
2020-06-01,22.0
2020-06-02,25.375
2020-06-03,25.125
2020-06-04,25.75
2020-06-05,28.625
2020-06-06,27.25
2020-06-07,29.5
2020-06-08,30.0
2020-06-09,29.75
2020-06-10,29.875
2020-06-11,28.25
2020-06-12,29.625
2020-06-13,27.375
2020-06-14,27.0
2020-06-15,28.0
2020-06-16,27.375
2020-06-17,26.5
2020-06-18,28.75
2020-06-19,28.875
2020-06-20,29.75
2020-06-21,32.5
2020-06-22,29.625
2020-06-23,24.625
2020-06-24,25.5
2020-06-25,26.75
2020-06-26,26.75
2020-06-27,28.625
2020-06-28,28.25
2020-06-29,25.25
2020-06-30,25.25
2020-07-01,28.375
2020-07-02,28.25
2020-07-03,27.25
2020-07-04,26.5
2020-07-05,28.125
2020-07-06,27.5
2020-07-07,28.875
2020-07-08,31.625
2020-07-09,28.25
2020-07-10,29.625
2020-07-11,27.5
2020-07-12,23.375
2020-07-13,23.75
2020-07-14,27.25
2020-07-15,28.5
2020-07-16,29.125
2020-07-17,29.25
2020-07-18,26.375
2020-07-19,26.875
2020-07-20,29.875
2020-07-21,28.25
2020-07-22,25.125
2020-07-23,26.5
2020-07-24,27.375
2020-07-25,28.875
2020-07-26,26.5
2020-07-27,28.875
2020-07-28,28.125
2020-07-29,28.125
2020-07-30,29.0
2020-07-31,27.375
2020-08-01,27.0
2020-08-02,26.125
2020-08-03,28.625
2020-08-04,28.125
2020-08-05,28.0
2020-08-06,26.75
2020-08-07,27.5
2020-08-08,26.125
2020-08-09,28.625
2020-08-10,28.75
2020-08-11,29.75
2020-08-12,30.125
2020-08-13,27.5
2020-08-14,27.875
2020-08-15,30.375
2020-08-16,31.875
2020-08-17,32.875
2020-08-18,33.0
2020-08-19,33.0
2020-08-20,29.0
2020-08-21,29.0
2020-08-22,29.75
2020-08-23,30.75
2020-08-24,31.875
2020-08-25,33.625
2020-08-26,30.5
2020-08-27,29.125
2020-08-28,28.875
2020-08-29,29.875
2020-08-30,30.0
2020-08-31,30.0
2020-09-01,27.375
2020-09-02,27.0
2020-09-03,27.625
2020-09-04,29.25
2020-09-05,26.5
2020-09-06,23.25
2020-09-07,24.625
2020-09-08,25.25
2020-09-09,26.5
2020-09-10,26.75
2020-09-11,24.375
2020-09-12,24.25
2020-09-13,25.125
2020-09-14,25.375
2020-09-15,25.125
2020-09-16,24.125
2020-09-17,24.25
2020-09-18,25.0
2020-09-19,24.0
2020-09-20,23.875
2020-09-21,24.0
2020-09-22,23.125
2020-09-23,24.125
2020-09-24,25.25
2020-09-25,25.0
2020-09-26,25.0
2020-09-27,24.375
2020-09-28,24.125
2020-09-29,23.5
2020-09-30,23.125
2020-10-01,22.875
2020-10-02,22.125
2020-10-03,22.0
2020-10-04,19.125
2020-10-05,19.125
