date,lowest temperature
2020-01-01,-1.75
2020-01-02,-3.0
2020-01-03,-3.0
2020-01-04,-2.25
2020-01-05,1.25
2020-01-06,4.25
2020-01-07,2.25
2020-01-08,-3.0
2020-01-09,-2.5
2020-01-10,-2.0
2020-01-11,-3.25
2020-01-12,-4.0
2020-01-13,-4.25
2020-01-14,-4.75
2020-01-15,-4.0
2020-01-16,-3.75
2020-01-17,-2.5
2020-01-18,-1.5
2020-01-19,-3.0
2020-01-20,-4.0
2020-01-21,-0.25
2020-01-22,1.5
2020-01-23,-0.5
2020-01-24,0.25
2020-01-25,1.5
2020-01-26,3.25
2020-01-27,3.75
2020-01-28,2.0
2020-01-29,1.5
2020-01-30,0.75
2020-01-31,-2.0
2020-02-01,-2.0
2020-02-02,-2.5
2020-02-03,-5.25
2020-02-04,-9.0
2020-02-05,-8.0
2020-02-06,-4.0
2020-02-07,-2.75
2020-02-08,-3.0
2020-02-09,0.0
2020-02-10,1.25
2020-02-11,4.0
2020-02-12,3.75
2020-02-13,4.25
2020-02-14,4.0
2020-02-15,-0.25
2020-02-16,-4.5
2020-02-17,-5.0
2020-02-18,-0.875
2020-02-19,0.25
2020-02-20,1.75
2020-02-21,2.75
2020-02-22,-0.5
2020-02-23,2.75
2020-02-24,5.25
2020-02-25,2.5
2020-02-26,2.0
2020-02-27,4.0
2020-02-28,4.25
2020-02-29,1.75
2020-03-01,0.5
2020-03-02,1.25
2020-03-03,1.0
2020-03-04,-1.75
2020-03-05,-0.25
2020-03-06,2.75
2020-03-07,3.75
2020-03-08,5.75
2020-03-09,5.25
2020-03-10,0.75
2020-03-11,3.25
2020-03-12,2.75
2020-03-13,-0.25
2020-03-14,1.75
2020-03-15,0.25
2020-03-16,4.0
2020-03-17,5.0
2020-03-18,7.25
2020-03-19,5.25
2020-03-20,7.25
2020-03-21,4.75
2020-03-22,4.75
2020-03-23,5.25
2020-03-24,6.75
2020-03-25,9.25
2020-03-26,8.5
2020-03-27,3.75
2020-03-28,3.25
2020-03-29,4.5
2020-03-30,6.0
2020-03-31,7.25
2020-04-01,5.25
2020-04-02,6.5
2020-04-03,6.0
2020-04-04,2.75
2020-04-05,5.5
2020-04-06,6.5
2020-04-07,4.75
2020-04-08,4.5
2020-04-09,6.25
2020-04-10,6.75
2020-04-11,6.125
2020-04-12,5.75
2020-04-13,8.0
2020-04-14,8.5
2020-04-15,10.25
2020-04-16,10.5
2020-04-17,9.25
2020-04-18,10.0
2020-04-19,7.5
2020-04-20,5.75
2020-04-21,5.0
2020-04-22,5.25
2020-04-23,7.5
2020-04-24,10.25
2020-04-25,7.0
2020-04-26,7.5
2020-04-27,7.75
2020-04-28,10.25
2020-04-29,12.0
2020-04-30,15.25
2020-05-01,16.0
2020-05-02,16.5
2020-05-03,15.5
2020-05-04,12.75
2020-05-05,12.0
2020-05-06,13.75
2020-05-07,14.25
2020-05-08,14.75
2020-05-09,13.5
2020-05-10,12.0
2020-05-11,11.25
2020-05-12,11.5
2020-05-13,13.5
2020-05-14,15.0
2020-05-15,15.0
2020-05-16,15.25
2020-05-17,15.0
2020-05-18,11.25
2020-05-19,11.0
2020-05-20,12.25
2020-05-21,14.0
2020-05-22,14.0
2020-05-23,14.5
2020-05-24,14.0
2020-05-25,13.75
2020-05-26,13.0
2020-05-27,13.75
2020-05-28,14.5
2020-05-29,16.0
2020-05-30,16.5
2020-05-31,15.75
2020-06-01,15.5
2020-06-02,17.25
2020-06-03,17.75
2020-06-04,17.0
2020-06-05,17.25
2020-06-06,17.5
2020-06-07,18.75
2020-06-08,19.25
2020-06-09,20.0
2020-06-10,19.75
2020-06-11,19.0
2020-06-12,19.25
2020-06-13,19.5
2020-06-14,18.0
2020-06-15,18.75
2020-06-16,18.5
2020-06-17,19.5
2020-06-18,19.25
2020-06-19,20.0
2020-06-20,20.25
2020-06-21,21.0
2020-06-22,21.25
2020-06-23,21.75
2020-06-24,20.75
2020-06-25,20.0
2020-06-26,20.0
2020-06-27,20.0
2020-06-28,19.5
2020-06-29,18.5
2020-06-30,18.5
2020-07-01,20.0
2020-07-02,20.0
2020-07-03,20.0
2020-07-04,19.5
2020-07-05,20.25
2020-07-06,21.0
2020-07-07,20.75
2020-07-08,21.25
2020-07-09,22.5
2020-07-10,21.25
2020-07-11,21.0
2020-07-12,19.0
2020-07-13,18.25
2020-07-14,18.75
2020-07-15,20.25
2020-07-16,21.0
2020-07-17,21.75
2020-07-18,21.5
2020-07-19,21.75
2020-07-20,21.25
2020-07-21,21.75
2020-07-22,20.75
2020-07-23,20.25
2020-07-24,20.75
2020-07-25,21.5
2020-07-26,22.0
2020-07-27,22.25
2020-07-28,23.0
2020-07-29,23.0
2020-07-30,22.75
2020-07-31,23.0
2020-08-01,23.0
2020-08-02,23.25
2020-08-03,24.0
2020-08-04,23.75
2020-08-05,23.0
2020-08-06,22.75
2020-08-07,22.5
2020-08-08,24.0
2020-08-09,24.0
2020-08-10,23.75
2020-08-11,25.0
2020-08-12,25.0
2020-08-13,24.75
2020-08-14,24.0
2020-08-15,24.0
2020-08-16,24.25
2020-08-17,25.0
2020-08-18,24.75
2020-08-19,23.75
2020-08-20,23.0
2020-08-21,23.25
2020-08-22,22.0
2020-08-23,22.5
2020-08-24,24.25
2020-08-25,25.25
2020-08-26,24.5
2020-08-27,24.0
2020-08-28,24.0
2020-08-29,24.0
2020-08-30,23.25
2020-08-31,23.0
2020-09-01,22.5
2020-09-02,20.25
2020-09-03,19.75
2020-09-04,19.25
2020-09-05,19.75
2020-09-06,18.75
2020-09-07,19.75
2020-09-08,19.25
2020-09-09,19.5
2020-09-10,19.5
2020-09-11,17.75
2020-09-12,17.25
2020-09-13,17.75
2020-09-14,19.25
2020-09-15,19.25
2020-09-16,18.5
2020-09-17,17.5
2020-09-18,16.5
2020-09-19,14.25
2020-09-20,13.75
2020-09-21,15.0
2020-09-22,15.0
2020-09-23,15.25
2020-09-24,15.25
2020-09-25,14.75
2020-09-26,14.25
2020-09-27,15.0
2020-09-28,15.25
2020-09-29,15.5
2020-09-30,16.0
2020-10-01,15.75
2020-10-02,15.5
2020-10-03,14.25
2020-10-04,9.0
2020-10-05,8.5
2020-10-06,10.25
2020-10-07,11.0
2020-10-08,11.25
2020-10-09,11.5
2020-10-10,11.75
2020-10-11,11.75
2020-10-12,8.5
2020-10-13,9.5
2020-10-14,6.75
2020-10-15,9.25
2020-10-16,9.75
2020-10-17,8.25
2020-10-18,9.5
2020-10-19,10.5
2020-10-20,12.0
2020-10-21,10.25
2020-10-22,4.5
2020-10-23,3.75
2020-10-24,6.0
2020-10-25,8.25
2020-10-26,9.0
2020-10-27,8.5
2020-10-28,5.25
2020-10-29,6.75
2020-10-30,10.0
2020-10-31,11.0
