,날짜,승하차총원
0,2020-01-01,54602
1,2020-01-02,136661
2,2020-01-03,144293
3,2020-01-04,100683
4,2020-01-05,69803
5,2020-01-06,138355
6,2020-01-07,136160
7,2020-01-08,142760
8,2020-01-09,142664
9,2020-01-10,148344
10,2020-01-11,108349
11,2020-01-12,71992
12,2020-01-13,140538
13,2020-01-14,142514
14,2020-01-15,143776
15,2020-01-16,143637
16,2020-01-17,148369
17,2020-01-18,104092
18,2020-01-19,71601
19,2020-01-20,140703
20,2020-01-21,142298
21,2020-01-22,135284
22,2020-01-23,135654
23,2020-01-24,52419
24,2020-01-25,43097
25,2020-01-26,57311
26,2020-01-27,64497
27,2020-01-28,128624
28,2020-01-29,135221
29,2020-01-30,134181
30,2020-01-31,136578
31,2020-02-01,84037
32,2020-02-02,54335
33,2020-02-03,121310
34,2020-02-04,122585
35,2020-02-05,120365
36,2020-02-06,119616
37,2020-02-07,126379
38,2020-02-08,80318
39,2020-02-09,53850
40,2020-02-10,121916
41,2020-02-11,129505
42,2020-02-12,125749
43,2020-02-13,130110
44,2020-02-14,137288
45,2020-02-15,90893
46,2020-02-16,59736
47,2020-02-17,131576
48,2020-02-18,131035
49,2020-02-19,132009
50,2020-02-20,130830
51,2020-02-21,127462
52,2020-02-22,74278
53,2020-02-23,43716
54,2020-02-24,108157
55,2020-02-25,100307
56,2020-02-26,102380
57,2020-02-27,100646
58,2020-02-28,98138
59,2020-02-29,54989
60,2020-03-01,34548
61,2020-03-02,97240
62,2020-03-03,99249
63,2020-03-04,98871
64,2020-03-05,98735
65,2020-03-06,102637
66,2020-03-07,59434
67,2020-03-08,37739
68,2020-03-09,100584
69,2020-03-10,97101
70,2020-03-11,99604
71,2020-03-12,97732
72,2020-03-13,100908
73,2020-03-14,59881
74,2020-03-15,37540
75,2020-03-16,97555
76,2020-03-17,98752
77,2020-03-18,101231
78,2020-03-19,97400
79,2020-03-20,104470
80,2020-03-21,61704
81,2020-03-22,40727
82,2020-03-23,101521
83,2020-03-24,102588
84,2020-03-25,104178
85,2020-03-26,101367
86,2020-03-27,104553
87,2020-03-28,62898
88,2020-03-29,42082
89,2020-03-30,102150
90,2020-03-31,102899
91,2020-04-01,103289
92,2020-04-02,102626
93,2020-04-03,106645
94,2020-04-04,64340
95,2020-04-05,42483
96,2020-04-06,105136
97,2020-04-07,106121
98,2020-04-08,106871
99,2020-04-09,106057
100,2020-04-10,109736
101,2020-04-11,67869
102,2020-04-12,43468
103,2020-04-13,107343
104,2020-04-14,113185
105,2020-04-15,60202
106,2020-04-16,109178
107,2020-04-17,108167
108,2020-04-18,71947
109,2020-04-19,44522
110,2020-04-20,108732
111,2020-04-21,110963
112,2020-04-22,110935
113,2020-04-23,112134
114,2020-04-24,116385
115,2020-04-25,75280
116,2020-04-26,50864
117,2020-04-27,113977
118,2020-04-28,116485
119,2020-04-29,121219
120,2020-04-30,66878
121,2020-05-01,72688
122,2020-05-02,68891
123,2020-05-03,52270
124,2020-05-04,100974
125,2020-05-05,58973
126,2020-05-06,121177
127,2020-05-07,121647
128,2020-05-08,125770
129,2020-05-09,71707
130,2020-05-10,53060
131,2020-05-11,116955
132,2020-05-12,116194
133,2020-05-13,118061
134,2020-05-14,116159
135,2020-05-15,114361
136,2020-05-16,76052
137,2020-05-17,52193
138,2020-05-18,111102
139,2020-05-19,113561
